outcome,outcome_label,feature_set,feature_set_label,model,repeat,fold,status,error,n_total,n_train,n_test,n_groups_total,n_groups_test,test_group_overlap_fraction,target_positive,target_negative,test_positive,test_negative,features,accuracy,balanced_accuracy,macro_f1,weighted_f1,sensitivity,specificity,ppv,npv,brier,prevalence,roc_auc,pr_auc
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,dummy_stratified,1,0,ok,,1158,929,229,242,48,0.0,472,686,94,135,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.4978165938864629,0.4803782505910165,0.4803362472127395,0.4974003951561361,0.3829787234042553,0.5777777777777777,0.3870967741935484,0.5735294117647058,0.5021834061135371,0.4104803493449782,0.48037825059101646,0.4015249375848562
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,logistic_balanced,1,0,ok,,1158,929,229,242,48,0.0,472,686,94,135,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.7117903930131004,0.6973995271867612,0.6991161012900143,0.7101723983250469,0.6170212765957447,0.7777777777777778,0.6590909090909091,0.7446808510638298,0.21968431019469237,0.4104803493449782,0.6706855791962174,0.6034105843647
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,random_forest_balanced,1,0,ok,,1158,929,229,242,48,0.0,472,686,94,135,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6681222707423581,0.6668242710795902,0.6627131782945737,0.6703605158931655,0.6595744680851063,0.674074074074074,0.5849056603773585,0.7398373983739838,0.2131562968620101,0.4104803493449782,0.7188337273443657,0.5997099999573088
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,gradient_boosting,1,0,ok,,1158,929,229,242,48,0.0,472,686,94,135,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6419213973799127,0.6139085894405043,0.6145730706075534,0.632954732864385,0.4574468085106383,0.7703703703703704,0.581081081081081,0.6709677419354839,0.2253100713617339,0.4104803493449782,0.6809692671394799,0.5552093101322464
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,dummy_stratified,1,1,ok,,1158,924,234,242,48,0.0,472,686,95,139,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.49145299145299143,0.47364634608102996,0.4736802313493489,0.4918663114554017,0.37894736842105264,0.5683453237410072,0.375,0.572463768115942,0.5085470085470085,0.405982905982906,0.47364634608102996,0.39424201529464686
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,logistic_balanced,1,1,ok,,1158,924,234,242,48,0.0,472,686,95,139,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.688034188034188,0.6707686482393034,0.6724762726488351,0.6858987878832572,0.5789473684210527,0.762589928057554,0.625,0.726027397260274,0.21550913437336489,0.405982905982906,0.6924271109428246,0.6080106164484993
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,random_forest_balanced,1,1,ok,,1158,924,234,242,48,0.0,472,686,95,139,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6538461538461539,0.65032184778493,0.6468220694281401,0.6561875153188251,0.631578947368421,0.6690647482014388,0.5660377358490566,0.7265625,0.2027871914458526,0.405982905982906,0.7369556985990156,0.6773299007499961
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,gradient_boosting,1,1,ok,,1158,924,234,242,48,0.0,472,686,95,139,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6666666666666666,0.6477849299507763,0.6493506493506493,0.664002664002664,0.5473684210526316,0.7482014388489209,0.5977011494252874,0.7074829931972789,0.21019534755095323,0.405982905982906,0.7142370314274896,0.6350957035984341
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,dummy_stratified,1,2,ok,,1158,925,233,242,51,0.0,472,686,95,138,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.48497854077253216,0.4668192219679633,0.4668192219679633,0.48497854077253216,0.3684210526315789,0.5652173913043478,0.3684210526315789,0.5652173913043478,0.5150214592274678,0.40772532188841204,0.46681922196796344,0.39324480163589454
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,logistic_balanced,1,2,ok,,1158,925,233,242,51,0.0,472,686,95,138,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6781115879828327,0.674141876430206,0.6711083507424764,0.6799653860758681,0.6526315789473685,0.6956521739130435,0.5961538461538461,0.7441860465116279,0.22072973446212554,0.40772532188841204,0.7025171624713958,0.5633752089064669
